X(mm),Y(mm),Z(mm)
204.0,96.0,0.0
240.0,156.0,0.0
504.0,336.0,0.0
516.0,348.0,0.0
648.0,444.0,0.0
660.0,456.0,0.0
696.0,468.0,0.0
744.0,468.0,0.0
768.0,396.0,0.0
648.0,348.0,0.0
372.0,144.0,0.0
348.0,120.0,0.0
252.0,48.0,0.0
900.0,720.0,0.0
1164.0,876.0,0.0
1368.0,864.0,0.0
1572.0,852.0,0.0
1704.0,852.0,0.0
1728.0,948.0,0.0
1740.0,1008.0,0.0
1740.0,1308.0,0.0
1740.0,1332.0,0.0
1740.0,1344.0,0.0
1740.0,1452.0,0.0
1596.0,1464.0,0.0
1500.0,1476.0,0.0
1392.0,1476.0,0.0
1332.0,1476.0,0.0
1260.0,1440.0,0.0
1128.0,1440.0,0.0
1128.0,1596.0,0.0
1188.0,1680.0,0.0
1308.0,1680.0,0.0
1620.0,1596.0,0.0
2028.0,1596.0,0.0
2280.0,1620.0,0.0
2448.0,1620.0,0.0
2448.0,1488.0,0.0
2268.0,1476.0,0.0
2160.0,1476.0,0.0
1944.0,1440.0,0.0
1872.0,996.0,0.0
1872.0,984.0,0.0
1884.0,888.0,0.0
1896.0,840.0,0.0
2160.0,828.0,0.0
2496.0,828.0,0.0
2676.0,840.0,0.0
2796.0,852.0,0.0
2784.0,708.0,0.0
1416.0,684.0,0.0
1188.0,636.0,0.0
1152.0,612.0,0.0
1056.0,576.0,0.0
84.0,1176.0,0.0
132.0,1212.0,0.0
240.0,1176.0,0.0
252.0,1164.0,0.0
372.0,1104.0,0.0
480.0,1044.0,0.0
528.0,972.0,0.0
468.0,924.0,0.0
324.0,996.0,0.0
288.0,1032.0,0.0
144.0,1104.0,0.0
120.0,1116.0,0.0
468.0,1716.0,0.0
312.0,1872.0,0.0
300.0,1884.0,0.0
348.0,1920.0,0.0
396.0,1908.0,0.0
408.0,1896.0,0.0
732.0,1572.0,0.0
732.0,1536.0,0.0
684.0,1536.0,0.0
624.0,1584.0,0.0
588.0,1596.0,0.0
204.0,132.0,2.142857142857143
492.0,324.0,2.142857142857143
504.0,336.0,2.142857142857143
576.0,396.0,2.142857142857143
648.0,444.0,2.142857142857143
672.0,456.0,2.142857142857143
708.0,468.0,2.142857142857143
756.0,432.0,2.142857142857143
684.0,360.0,2.142857142857143
648.0,336.0,2.142857142857143
360.0,132.0,2.142857142857143
288.0,48.0,2.142857142857143
216.0,48.0,2.142857142857143
900.0,876.0,2.142857142857143
