frame, time,Joint1: JointValue (degree),Joint1: JointVel (degree/s),Joint1: JointAccl (degree/s^2),Joint2: JointValue (degree),Joint2: JointVel (degree/s),Joint2: JointAccl (degree/s^2),Joint3: JointValue (degree),Joint3: JointVel (degree/s),Joint3: JointAccl (degree/s^2),Joint4: JointValue (degree),Joint4: JointVel (degree/s),Joint4: JointAccl (degree/s^2),Joint5: JointValue (degree),Joint5: JointVel (degree/s),Joint5: JointAccl (degree/s^2),Joint6: JointValue (degree),Joint6: JointVel (degree/s),Joint6: JointAccl (degree/s^2),
1,0,0,0,0,60,0,0,60,0,0,0,0,0,0,0,0,0,0,0,
2,0.00314629258517034,4.76591086992367E-06,0.0045442871762564,2.88862336400091,59.9999936454522,-0.00605904956834187,-3.85149781866788,59.9999992056815,-0.000757381196042734,-0.481437227333485,0,0,0,1.58863695664122E-06,0.00151476239208547,0.962874454666969,0,0,0,
3,0.00629258517034068,3.81263802229697E-05,0.0181764282304157,5.77678875083398,59.9999491648264,-0.0242352376405543,-7.70238500111197,59.9999936456033,-0.00302940470506928,-0.962798125138996,0,0,0,1.27087934076566E-05,0.00605880941013857,1.92559625027799,0,0,0,
4,0.00943887775551102,0.000128671433014199,0.0408942618529071,8.66403825594142,59.9998284380893,-0.0545256824705428,-11.5520510079219,59.9999785547612,-0.00681571030881785,-1.44400637599024,0,0,0,4.28904776713997E-05,0.0136314206176357,2.88801275198047,0,0,0,
5,0.0125851703406814,0.000304982027861522,0.0726941862418293,11.549914119974,59.9995933572962,-0.0969255816557724,-15.3998854932987,59.999949169662,-0.0121156977069715,-1.92498568666234,0,0,0,0.000101660675953841,0.0242313954139431,3.84997137332467,0,0,0,
6,0.0157314629258517,0.000595625525673851,0.113571159674029,14.4339588013667,59.9992058326324,-0.151428212898705,-19.2452784018223,59.9999007290791,-0.0189285266123381,-2.40565980022778,0,0,0,0.000198541841891284,0.0378570532246762,4.81131960045556,0,0,0,
7,0.018877755511022,0.00102915116043483,0.163518701304415,17.3157150488794,59.9986277984528,-0.218024935072554,-23.0876200651726,59.9998284748066,-0.0272531168840692,-2.88595250814657,0,0,0,0.00034305038681161,0.0545062337681384,5.77190501629314,0,0,0,
8,0.0220240480961924,0.0016340855128615,0.222528892193504,20.1947259740923,59.9978212193162,-0.296705189591339,-26.9263012987897,59.9997276524145,-0.0370881486989173,-3.36578766234871,0,0,0,0.000544695170953834,0.0741762973978347,6.73157532469742,0,0,0,
9,0.0251703406813627,0.0024389279876527,0.290592376562869,23.0705351238427,59.9967480960165,-0.387456502083826,-30.760713498457,59.9995935120021,-0.0484320627604782,-3.84508918730712,0,0,0,0.000812975995884235,0.0968641255209564,7.69017837461424,0,0,0,
10,0.0283166332665331,0.00347214629504911,0.367698363278525,25.9426865525942,59.9953704716066,-0.490264484371366,-34.5902487367923,59.9994213089508,-0.0612830605464207,-4.32378109209904,0,0,0,0.0011573820983497,0.122566121092842,8.64756218419807,0,0,0,
11,0.0314629258517034,0.00476217193741373,0.453834627561745,28.810724894724,59.9936504374168,-0.605112836748994,-38.4142998596321,59.9992063046771,-0.0756391045936242,-4.80178748245401,0,0,0,0.00158739064580458,0.151278209187248,9.60357496490801,0,0,0,
12,0.0346092184368738,0.00633739570155863,0.548987512927284,31.6741954367193,59.9915501390646,-0.731983350569711,-42.2322605822925,59.9989437673831,-0.0914979188212139,-5.27903257278656,0,0,0,0.00211246523385288,0.182995837642428,10.5580651455731,0,0,0,
13,0.0377555110220441,0.00822616315752127,0.65314193334852,34.5326441892697,59.9890317824566,-0.87085591113136,-46.043525585693,59.9986289728071,-0.10885698889142,-5.75544069821162,0,0,0,0.00274205438584042,0.21771397778284,11.5108813964232,0,0,0,
14,0.0409018036072144,0.0104567701645151,0.76628137564929,37.385617959245,59.9860576397806,-1.02170850086572,-49.8474906123267,59.9982572049726,-0.127713562608215,-6.23093632654084,0,0,0,0.00348559005483836,0.25542712521643,12.4618726530817,0,0,0,
15,0.0440480961923848,0.0130574583847551,0.88838790212197,40.232664421547,59.982590055487,-1.18451720282929,-53.6435525620626,59.9978237569359,-0.148064650353662,-6.70544407025783,0,0,0,0.0043524861282517,0.296129300707323,13.4108881405157,0,0,0,
16,0.0471943887775551,0.0160564108058852,1.0194421533714,43.073332190823,59.9785914522588,-1.3592562044952,-57.431109587764,59.9973239315324,-0.1699070255619,-7.1788886984705,0,0,0,0.00535213693529507,0.339814051123801,14.357777396941,0,0,0,
17,0.0503406813627255,0.019481747272696,1.15942335138423,45.9071708930313,59.9740243369697,-1.54589780184563,-61.2095611907084,59.9967530421212,-0.193237225230704,-7.65119514883855,0,0,0,0.00649391575756534,0.386474450461408,15.3023902976771,0,0,0,
18,0.0534869739478958,0.0233615200288672,1.30830930282316,48.7337312368453,59.9688513066282,-1.74441240376421,-64.9783083157938,59.9961064133285,-0.218051550470526,-8.12228853947422,0,0,0,0.00778717334295573,0.436103100941052,16.2445770789484,0,0,0,
19,0.0566332665330661,0.027723709269416,1.46607640254563,51.552565084887,59.9630350543074,-1.9547685367275,-68.736753446516,59.9953793817884,-0.244346067090938,-8.5920941808145,0,0,0,0.00924123642313865,0.488692134181875,17.184188361629,0,0,0,
20,0.0597795591182365,0.0325962187045752,1.63269963734622,54.3632255247762,59.9565383750606,-2.17693284979496,-72.4843006997016,59.9945672968826,-0.27211660622437,-9.0605375874627,0,0,0,0.0108654062348584,0.544233212448739,18.1210751749254,0,0,0,
21,0.0629258517034068,0.0380068711357971,1.80815258992247,57.1652669399872,59.9493241718189,-2.41087011989662,-76.220355919983,59.9936655214774,-0.301358764987078,-9.52754448999787,0,0,0,0.0126689570452657,0.602717529974156,19.0550889799957,0,0,0,
22,0.0660721442885772,0.0439834040445808,1.99240744306312,59.9582450804985,59.9413554612739,-2.65654325741749,-79.944326773998,59.9926694326592,-0.332067907177187,-9.99304084674976,0,0,0,0.0146611346815269,0.664135814354374,19.9860816934995,0,0,0,
23,0.0692184368737475,0.0505534651948329,2.18543498405847,62.7417171332267,59.9325953797402,-2.91391331207796,-83.6556228443022,59.9915744224675,-0.364239164009745,-10.4569528555378,0,0,0,0.0168511550649443,0.728478328019489,20.9139057110756,0,0,0,
24,0.0723647294589178,0.057744608249445,2.38720460933187,65.5152417922322,59.9230071890007,-3.18293947910916,-87.3536557229763,59.9903758986251,-0.397867434888645,-10.919206965372,0,0,0,0.019248202749815,0.795734869777289,21.8384139307441,0,0,0,
25,0.0755110220440882,0.0655842884018026,2.59768432929177,68.2783793286865,59.9125542821309,-3.46357910572235,-91.0378391049153,59.9890692852664,-0.432947388215294,-11.3797298881144,0,0,0,0.0218614294672675,0.865894776430588,22.7594597762288,0,0,0,
26,0.0786573146292585,0.0740998580228869,2.81684077340352,71.0306916605885,59.9012001893028,-3.75578769787136,-94.7075888807846,59.9876500236629,-0.46947346223392,-11.8384486100981,0,0,0,0.0246999526742956,0.938946924467839,23.6768972201962,0,0,0,
27,0.0818036072144289,0.0833185623246968,3.04463919548012,73.7717424222208,59.8889085835671,-4.05951892730683,-98.3623232296277,59.9861135729459,-0.507439865913354,-12.2952904037035,0,0,0,0.0277728541082322,1.01487973182671,24.5905808074069,0,0,0,
28,0.0849498997995992,0.0932675350406524,3.28104347919106,76.5010970333331,59.8756432866125,-4.37472463892142,-102.001462711111,59.9844554108266,-0.546840579865177,-12.7501828388888,0,0,0,0.0310891783468841,1.09368115973035,25.5003656777777,0,0,0,
29,0.0880961923847695,0.103973794123672,3.52601614378835,79.2183227680426,59.8613682745018,-4.70135485838446,-105.62443035739,59.9826710343127,-0.587669357298057,-13.2030537946738,0,0,0,0.0346579313745572,1.17533871459611,26.4061075893475,0,0,0,
30,0.0912424849699399,0.11546423746261,3.77951835004893,81.922988823441,59.8460476833832,-5.03935780006524,-109.230651764588,59.9807559604229,-0.629919725008155,-13.6538314705735,0,0,0,0.0384880791542032,1.25983945001631,27.307662941147,0,0,0,
31,0.0943887775551102,0.127765638617722,4.04150990643248,84.6146663878961,59.8296458151764,-5.38867987524331,-112.819555183861,59.978705726897,-0.673584984405413,-14.1024443979827,0,0,0,0.0425885462059073,1.34716996881083,28.2048887959654,0,0,0,
32,0.0975350701402806,0.140904642575855,4.31194927545352,87.2929287090373,59.8121271432322,-5.74926570060469,-116.39057161205,59.976515892904,-0.718658212575586,-14.5488214515062,0,0,0,0.0469682141919517,1.43731642515117,29.0976429030124,0,0,0,
33,0.100681362725451,0.154907761526009,4.59079358026704,89.9573511614157,59.7934563179653,-6.12105810702272,-119.943134881888,59.9741820397457,-0.76513226337784,-14.992891860236,0,0,0,0.0516359205086698,1.53026452675568,29.9857837204719,0,0,0,
34,0.103827655310621,0.169801370655958,4.87799861146637,92.6075113138265,59.7735981724587,-6.50399814862183,-123.476681751769,59.9716997715573,-0.812999768577729,-15.4345852189711,0,0,0,0.0566004568853194,1.62599953715546,30.8691704379422,0,0,0,
35,0.106973947895792,0.185611703970596,5.17351883409241,95.2429889962826,59.7525177280392,-6.89802511212322,-126.990651995043,59.9690647160049,-0.862253139015402,-15.8738314993804,0,0,0,0.0618705679901985,1.7245062780308,31.7476629987609,0,0,0,
36,0.110120240480962,0.202364850132662,5.47730739485293,97.8633663666313,59.7301801998231,-7.30307652647058,-130.484488488842,59.9662725249779,-0.912884565808822,-16.3105610611052,0,0,0,0.0674549500442208,1.82576913161764,32.6211221222104,0,0,0,
37,0.113266533066132,0.220086748326509,5.78931612955097,100.468227976801,59.7065510022313,-7.71908817273462,-133.957637302401,59.9633188752789,-0.964886021591828,-16.7447046628001,0,0,0,0.0733622494421697,1.92977204318366,33.4894093256003,0,0,0,
38,0.116412825651303,0.238803184145572,6.10949557072098,103.057160838668,59.6815957544726,-8.14599409429464,-137.40954778489,59.9601994693091,-1.01824926178683,-17.1761934731113,0,0,0,0.0796010613818572,2.03649852357366,34.3523869462225,0,0,0,
39,0.119559118236473,0.258539785504189,6.43779495547174,105.629754489533,59.6552802859944,-8.58372660729566,-140.839672652711,59.9569100357493,-1.07296582591196,-17.6049590815889,0,0,0,0.0861799285013964,2.14593165182391,35.2099181631778,0,0,0,
40,0.122705410821643,0.27932201857442,6.77416223353449,108.185601057203,59.6275706419008,-9.03221631137932,-144.24746807627,59.9534463302376,-1.12902703892242,-18.0309335095338,0,0,0,0.0931073395248067,2.25805407784483,36.0618670190675,0,0,0,
41,0.125851703406814,0.30117518374851,7.11854407551528,110.724295324648,59.5984330883353,-9.49139210068704,-147.632393766197,59.9498041360419,-1.18642401258588,-18.4540492207746,0,0,0,0.10039172791617,2.37284802517176,36.9080984415493,0,0,0,
42,0.128997995991984,0.324124411627628,7.47088588135007,113.245434794256,59.5678341178298,-9.96118117513343,-150.993913059007,59.9459792647287,-1.24514764689168,-18.8742391323759,0,0,0,0.108041470542543,2.49029529378336,37.7484782647518,0,0,0,
43,0.132144288577154,0.348194659037547,7.83113178896132,115.74861975164,59.5357404546166,-10.4415090519484,-154.331493002186,59.9419675568271,-1.30518863149355,-19.2914366252733,0,0,0,0.116064886345849,2.61037726298711,38.5828732505466,0,0,0,
44,0.135290581162325,0.373410705071846,8.19922468311464,118.233453329015,59.5021190599042,-10.9322995774862,-157.644604438687,59.937764882488,-1.36653744718577,-19.7055755548359,0,0,0,0.124470235023949,2.73307489437155,39.4111511096717,0,0,0,
45,0.138436873747495,0.399797147163317,8.57510620447414,120.699541568118,59.4669371371156,-11.4334749392989,-160.932722090824,59.9333671421394,-1.42918436741236,-20.116590261353,0,0,0,0.133265715721106,2.85836873482471,40.2331805227061,0,0,0,
46,0.141583166332665,0.427378397184153,8.95871675885502,123.146493482668,59.4301621370878,-11.9449556784734,-164.195324643557,59.928770267136,-1.49311945980917,-20.5244155804446,0,0,0,0.142459465728051,2.98623891961834,41.0488311608892,0,0,0,
47,0.144729458917836,0.456178677575565,9.34999552667191,125.573921120353,59.3917617632326,-12.4666607022292,-167.431894827137,59.9239702204041,-1.55833258777865,-20.9289868533922,0,0,0,0.152059559191855,3.1166651755573,41.8579737067843,0,0,0,
48,0.147875751503006,0.486222017507443,9.74888047258156,127.981439624343,59.3517039766567,-12.9985072967754,-170.641919499124,59.9189629970821,-1.62481341209693,-21.3302399373905,0,0,0,0.162074005835814,3.24962682419385,42.660479874781,0,0,0,
49,0.151022044088176,0.517532249068633,10.1553083553182,130.368667294303,59.3099570012418,-13.5404111404243,-173.824889725737,59.9137446251552,-1.69255139255304,-21.7281112157171,0,0,0,0.172510749689544,3.38510278510607,43.4562224314342,0,0,0,
50,0.154168336673347,0.550133003488486,10.5692147377202,132.73522564691,59.266489328682,-14.0922863169603,-176.980300862546,59.9083111660853,-1.76153578962004,-22.1225376078183,0,0,0,0.183377667829495,3.52307157924008,44.2450752156366,0,0,0,
51,0.157314629258517,0.584047707390239,10.9905339969462,135.080739475862,59.2212697234797,-14.6540453292616,-180.107652634482,59.902658715435,-1.83175566615771,-22.5134565793103,0,0,0,0.19468256913008,3.66351133231541,45.0269131586206,0,0,0,
52,0.160460921843687,0.619299579076836,11.4191993348793,137.404836911363,59.1742672278976,-15.2255991131725,-183.206449215151,59.8967834034872,-1.90319988914656,-22.9008061518938,0,0,0,0.206433193025612,3.80639977829311,45.8016123037877,0,0,0,
53,0.163607214428858,0.655911624849774,11.8551427887177,139.707149479082,59.125451166867,-15.8068570516236,-186.276199305443,59.8906813958584,-1.97585713145295,-23.2845249131804,0,0,0,0.218637208283258,3.9517142629059,46.5690498263608,0,0,0,
54,0.166753507014028,0.693906635361585,12.2982952417495,141.987312158574,59.0747911528512,-16.3977269889994,-189.316416211432,59.8843488941064,-2.04971587362492,-23.664552026429,0,0,0,0.231302211787195,4.09943174724984,47.3291040528579,0,0,0,
55,0.169899799599198,0.733307182002464,12.7485864343114,144.244963441148,59.0222570906634,-16.9981152457486,-192.32661792153,59.8777821363329,-2.12476440571857,-24.0408272401913,0,0,0,0.244435727334155,4.24952881143714,48.0816544803826,0,0,0,
56,0.173046092184369,0.774135613321704,13.2059449749275,146.479745387188,58.9678191822377,-17.6079266332367,-195.306327182917,59.8709773977797,-2.20099082915459,-24.4132908978646,0,0,0,0.258045204440568,4.40198165830918,48.8265817957292,0,0,0,
57,0.176192384769539,0.816414051484433,13.6702983516284,148.691303682898,58.9114479313541,-18.2270644688379,-198.255071577198,59.8639309914193,-2.27838305860474,-24.7818839471497,0,0,0,0.272138017161478,4.55676611720948,49.5637678942994,0,0,0,
58,0.179338677354709,0.860164388764259,14.1415729434475,150.879287696481,58.8531141483143,-18.8554305912633,-201.172383595309,59.8566392685393,-2.35692882390792,-25.1465479494136,0,0,0,0.28672146292142,4.71385764781583,50.2930958988272,0,0,0,
59,0.18248496993988,0.905408284072344,14.6196940320931,153.043350533726,58.7927889545702,-19.4929253761241,-204.057800711635,59.8490986193213,-2.43661567201551,-25.5072250889544,0,0,0,0.301802761357448,4.87323134403102,51.0144501779088,0,0,0,
60,0.18563126252505,0.952167159523506,15.1045858137948,155.183149093008,58.730443787302,-20.1394477517264,-206.910865457345,59.8413054734127,-2.5174309689658,-25.8638581821681,0,0,0,0.317389053174502,5.03486193793161,51.7277163643361,0,0,0,
61,0.18877755511022,1.00046219703984,15.5961714113221,157.298344119686,58.6660504039469,-20.7948952150961,-209.731125492915,59.8332563004934,-2.59936190188701,-26.2163906866143,0,0,0,0.333487399013279,5.19872380377402,52.4327813732287,0,0,0,
62,0.191923847695391,1.0503143349924,16.0943728861721,159.388600259888,58.5995808866768,-21.4591638482294,-212.518133679851,59.8249476108346,-2.68239548102868,-26.5647667099813,0,0,0,0.350104778330802,5.36479096205736,53.1295334199627,0,0,0,
63,0.195070140280561,1.1017442648816,16.5991112509271,161.453586113682,58.5310076468245,-22.1321483345695,-215.271448151576,59.8163759558531,-2.76651854182119,-26.908931018947,0,0,0,0.367248088293868,5.53303708364238,53.817862037894,0,0,0,
64,0.198216432865731,1.15477242805659,17.1103064817774,163.492974287617,58.4603034292579,-22.8137419757032,-217.990632383489,59.8075379286572,-2.8517177469629,-27.2488290479361,0,0,0,0.384924142685528,5.70343549392579,54.4976580958722,0,0,0,
65,0.201362725450902,1.2094190124744,17.6278775312083,165.506441446628,58.3874413167008,-23.5038367082777,-220.675255262171,59.7984301645876,-2.93797958853471,-27.5844069077713,0,0,0,0.403139670824801,5.87595917706942,55.1688138155427,0,0,0,
66,0.204509018036072,1.2657039494993,18.1517423408503,167.493668365303,58.3123947340009,-24.2023231211337,-223.324891153737,59.7890493417501,-3.02529039014172,-27.9156113942171,0,0,0,0.421901316499765,6.05058078028344,55.8312227884343,0,0,0,
67,0.207655310621242,1.32364691074268,18.681817854489,169.45433997849,58.2351374523431,-24.9090904726519,-225.93911997132,59.7793921815429,-3.11363630908149,-28.2423899964151,0,0,0,0.441215636914228,6.22727261816298,56.4847799928301,0,0,0,
68,0.210801603206413,1.38326730494432,19.2180200312328,171.388145431254,58.1556435934076,-25.6240267083104,-228.517527241672,59.769455449176,-3.2030033385388,-28.564690905209,0,0,0,0.461089101648106,6.4060066770776,57.129381810418,0,0,0,
69,0.213947895791583,1.44458427489512,19.7602638588378,173.294778128156,58.0738876334732,-26.3470184784504,-231.059704170875,59.7592359541841,-3.2933773098063,-28.8824630213593,0,0,0,0.481528091631706,6.58675461961261,57.7649260427186,0,0,0,
70,0.217094188376754,1.50761669440219,20.3084633671857,175.173935781867,57.9898444074638,-27.0779511562476,-233.565247709156,59.748730550933,-3.38474389453095,-29.1956559636445,0,0,0,0.502538898134063,6.76948778906189,58.391311927289,0,0,0,
71,0.220240480961924,1.57238316529646,20.8625316419138,177.025320461092,57.9034891129381,-27.8167088558851,-236.033760614789,59.7379361391173,-3.47708860698564,-29.5042200768486,0,0,0,0.524127721765486,6.95417721397128,59.0084401536973,0,0,0,
72,0.223386773547094,1.63890201448344,21.4223808381955,178.848638637805,57.8147973140221,-28.5631744509273,-238.464851517073,59.7268496642528,-3.57039680636591,-29.8081064396342,0,0,0,0.54630067149448,7.14079361273182,59.6162128792683,0,0,0,
73,0.226533066132265,1.70719129103762,21.9879221946667,180.643601233789,57.7237449452832,-29.317229592889,-240.858134978385,59.7154681181604,-3.66465369911112,-30.1072668722981,0,0,0,0.569063763679208,7.32930739822225,60.2145337445962,0,0,0,
74,0.229679358717435,1.77726876334084,22.5590660474996,182.409923666464,57.6303083155455,-30.0787547299994,-243.213231555285,59.7037885394432,-3.75984434124993,-30.4016539444106,0,0,0,0.592422921113615,7.51968868249986,60.8033078888212,0,0,0,
75,0.232825651302605,1.84915191626522,23.1357218446174,184.14732589401,57.5344641116464,-30.8476291261565,-245.52976785868,59.6918080139558,-3.85595364076956,-30.691220982335,0,0,0,0.616383972088406,7.71190728153912,61.3824419646701,0,0,0,
